"Zeit","anomalies"
1919-05-01,-0.612
1919-06-01,-0.202
1919-07-01,-0.145
1919-08-01,0.017
1919-09-01,0.194
1919-10-01,-0.194
1919-11-01,-1.041
1919-12-01,-0.835
1920-01-01,0.013
1920-02-01,-0.531
1920-03-01,0.104
1920-04-01,-0.288
1920-05-01,-0.044
1920-06-01,-0.234
1920-07-01,0.036
1920-08-01,-0.04
1920-09-01,-0.003
1920-10-01,-0.329
1920-11-01,-0.709
1920-12-01,-0.608
1921-01-01,0.727
1921-02-01,-0.057
1921-03-01,0.183
1921-04-01,0.17
1921-05-01,0.003
1921-06-01,0.129
1921-07-01,0.141
1921-08-01,-0.168
1921-09-01,-0.159
1921-10-01,-0.058
1921-11-01,-0.761
1921-12-01,-0.047
1922-01-01,-0.696
1922-02-01,-0.61
1922-03-01,-0.337
1922-04-01,-0.187
1922-05-01,0.03
1922-06-01,0.016
1922-07-01,-0.164
1922-08-01,-0.097
1922-09-01,-0.186
1922-10-01,-0.215
1922-11-01,-0.201
1922-12-01,-0.174
1923-01-01,0.231
1923-02-01,-0.932
1923-03-01,-0.544
1923-04-01,-1.02
1923-05-01,-0.417
1923-06-01,-0.326
1923-07-01,-0.217
1923-08-01,-0.294
1923-09-01,-0.005
1923-10-01,0.276
1923-11-01,0.416
1923-12-01,0.384
1924-01-01,-0.501
1924-02-01,-0.469
1924-03-01,-0.552
1924-04-01,-0.522
1924-05-01,-0.256
1924-06-01,-0.126
1924-07-01,-0.178
1924-08-01,-0.045
1924-09-01,0.032
1924-10-01,0.019
1924-11-01,0.099
1924-12-01,-0.562
1925-01-01,-0.152
1925-02-01,0.072
1925-03-01,-0.203
1925-04-01,-0.063
1925-05-01,-0.228
1925-06-01,-0.214
1925-07-01,-0.154
1925-08-01,0.048
1925-09-01,0.139
1925-10-01,-0.421
1925-11-01,0.013
1925-12-01,0.257
1926-01-01,0.707
1926-02-01,0.536
1926-03-01,0.022
1926-04-01,-0.489
1926-05-01,-0.303
1926-06-01,-0.176
1926-07-01,-0.225
1926-08-01,-0.041
1926-09-01,0.02
1926-10-01,-0.072
1926-11-01,0.161
1926-12-01,-0.458
1927-01-01,-0.31
1927-02-01,-0.134
1927-03-01,-0.515
1927-04-01,-0.413
1927-05-01,-0.334
1927-06-01,-0.096
1927-07-01,0.195
1927-08-01,0.011
1927-09-01,0.212
1927-10-01,0.41
1927-11-01,-0.045
1927-12-01,-1.047
1928-01-01,0.374
1928-02-01,0.008
1928-03-01,-0.73
1928-04-01,-0.554
1928-05-01,-0.137
1928-06-01,-0.495
1928-07-01,-0.001
1928-08-01,-0.154
1928-09-01,-0.068
1928-10-01,-0.037
1928-11-01,0.112
1928-12-01,0.038
1929-01-01,-0.958
1929-02-01,-1.983
1929-03-01,-0.464
1929-04-01,-0.724
1929-05-01,-0.236
1929-06-01,-0.396
1929-07-01,-0.275
1929-08-01,-0.026
1929-09-01,-0.163
1929-10-01,0.139
1929-11-01,0.082
1929-12-01,-0.871
1930-01-01,-0.369
1930-02-01,-0.157
1930-03-01,0.043
1930-04-01,-0.095
1930-05-01,-0.274
1930-06-01,-0.156
1930-07-01,0.123
1930-08-01,0.363
1930-09-01,-0.056
1930-10-01,-0.027
1930-11-01,0.268
1930-12-01,-0.018
1931-01-01,0.162
1931-02-01,-0.647
1931-03-01,-0.371
1931-04-01,-0.344
1931-05-01,-0.233
1931-06-01,0.204
1931-07-01,0.29
1931-08-01,0.29
1931-09-01,0.213
1931-10-01,0.438
1931-11-01,0.24
1931-12-01,0.194
1932-01-01,1.134
1932-02-01,-0.617
1932-03-01,-0.948
1932-04-01,0.078
1932-05-01,-0.184
1932-06-01,-0.103
1932-07-01,-0.061
1932-08-01,0.186
1932-09-01,0.251
1932-10-01,0.209
1932-11-01,-0.422
1932-12-01,-0.132
1933-01-01,-0.616
1933-02-01,-0.853
1933-03-01,-0.821
1933-04-01,-0.431
1933-05-01,-0.313
1933-06-01,-0.278
1933-07-01,0.208
1933-08-01,0.093
1933-09-01,0.009
1933-10-01,-0.038
1933-11-01,-0.248
1933-12-01,-0.937
1934-01-01,0.003
1934-02-01,0.511
1934-03-01,-0.572
1934-04-01,-0.356
1934-05-01,0.324
1934-06-01,-0.026
1934-07-01,0.032
1934-08-01,0.007
1934-09-01,-0.123
1934-10-01,0.29
1934-11-01,0.527
1934-12-01,0.356
1935-01-01,-0.525
1935-02-01,1.161
1935-03-01,-0.068
1935-04-01,-0.559
1935-05-01,-0.529
1935-06-01,-0.112
1935-07-01,0.062
1935-08-01,0.12
1935-09-01,0.062
1935-10-01,0.382
1935-11-01,-0.671
1935-12-01,-0.403
1936-01-01,-0.395
1936-02-01,-1.194
1936-03-01,-0.478
1936-04-01,-0.298
1936-05-01,-0.024
1936-06-01,0.142
1936-07-01,0.333
1936-08-01,0.166
1936-09-01,0.153
1936-10-01,0.135
1936-11-01,0.23
1936-12-01,0.487
1937-01-01,-0.091
1937-02-01,0.317
1937-03-01,-0.906
1937-04-01,-0.233
1937-05-01,0.131
1937-06-01,0.218
1937-07-01,0.217
1937-08-01,0.368
1937-09-01,0.488
1937-10-01,0.549
1937-11-01,0.127
1937-12-01,-0.402
1938-01-01,0.375
1938-02-01,0.363
1938-03-01,0.478
1938-04-01,0.521
1938-05-01,-0.029
1938-06-01,-0.081
1938-07-01,0.159
1938-08-01,0.421
1938-09-01,0.425
1938-10-01,0.605
1938-11-01,0.55
1938-12-01,-0.572
1939-01-01,0.128
1939-02-01,0.218
1939-03-01,-0.511
1939-04-01,-0.082
1939-05-01,0.015
1939-06-01,0.104
1939-07-01,0.181
1939-08-01,0.306
1939-09-01,0.087
1939-10-01,-0.179
1939-11-01,0.283
1939-12-01,1.249
1940-01-01,-1.088
1940-02-01,-0.061
1940-03-01,-0.269
1940-04-01,0.214
1940-05-01,-0.088
1940-06-01,0.078
1940-07-01,0.14
